"id","performer_id","event_name","theme_name","talent_name","location","description","image_profile","rate","average_rating","phone","experience","genres","performer_type","availability_status","created_at","updated_at"
"12","16","Concert","Rock","Dancer","Basak Pardo, Cebu City, 6000 Central Visayas, Philippines",NULL,"profile_images/mSuXGpnMcExCV2Or4AlpT1L6X8s2RSWUJ4ORhJyJ.jpg","2500","4.00",NULL,NULL,NULL,"group","Available","2025-01-02 22:45:14","2025-01-16 00:03:22"
"13","18","Concert","Pop","Singer","Seoul, South Korea",NULL,"profile_images/NExLrsqbbFuAGgyxYHBM3mb4qkQnlmXh0vJSfMDb.jpg","1500","4.50","091231233212","15","Any","solo","Available","2025-01-06 15:16:17","2025-01-06 18:53:41"
"14","19","Concert","Pop","Singer","Seoul, South Korea",NULL,"profile_images/4KP1xiHoznkjh08gwNePHMtlDm3uKXmuivxhrjFp.jpg","2000","5.00","092342323423","15","Any","group","Available","2025-01-06 16:31:03","2025-01-06 16:37:09"
"15","21","Concert","Pop","Singer","Manila, Capital District, Philippines","we are bini","profile_images/x5IX1PFPAyqgzVcg6eWdCTPcBcR25nsRBFI9xiDa.jpg","3000","5.00","09123456788","3","Any","group","Available","2025-01-06 18:38:28","2025-01-06 20:38:53"
"16","25","Concert","Rock","singer","Manila, Capital District, Philippines",NULL,"profile_images/WKqKxpzUS68rByn1vdzcN73cKb4quSLXtlCwewgc.jpg","49999","4.50",NULL,"12","Rock","group","Available","2025-01-15 05:58:36","2025-01-16 05:08:55"
"17","26","Reunion","Highschool","DJs","Lapu-Lapu, Central Visayas, Philippines",NULL,"profile_images/u2BOPwxykZcbwVxb4V5ZFbvWazc7BF2pBm9y5bKZ.jpg","2500","5.00",NULL,"2",NULL,"solo","Available","2025-01-15 06:01:29","2025-01-16 04:33:23"
"18","27","Concert","Rock","singer",NULL,NULL,"profile_images/tQSS2MlVkY1cKjpixPFKIbchn61J6cSJab6ut7zF.jpg","24999","5.00",NULL,"11","Rock","group","Available","2025-01-15 06:02:13","2025-01-16 04:52:27"
"19","28","Concert","Rock","Singer","Mandaue City, United Nations Avenue, Pakna-an, Mandaue, 6014 Central Visayas, Philippines",NULL,"profile_images/5obXBefXN2JN0mGnFXuEVBKLHSpQhGoTYO736Zia.jpg","2000","4.00",NULL,NULL,NULL,"solo","Available","2025-01-15 06:03:38","2025-01-16 00:33:56"
"20","29","Concert","Pop","Dancer","Cebu City, Central Visayas, Philippines",NULL,"profile_images/i6zzxWOxlr12jhxG2ZKQTpm7RW7AlR8WxYtCGeig.jpg","2500","4.00",NULL,NULL,NULL,"solo","Available","2025-01-15 06:03:41","2025-01-16 00:45:18"
"21","30","Birthday","Retro","Dancer","Mandaue City, Central Visayas, Philippines",NULL,"profile_images/oOmA7kGzvaCZYB2hp5DH0aDp24Hunf9NZW3lHAIY.webp","3000","3.00",NULL,NULL,NULL,"solo","Available","2025-01-15 06:16:47","2025-01-16 00:45:52"
"22","31","Birthday","Disco","Singer","Cebu City, Central Visayas, Philippines",NULL,"profile_images/kAOSQRo94zqfKwzKLUhqk4MMQnqCBD3dNQvs0uMi.webp","2500","4.00",NULL,NULL,NULL,"solo","Available","2025-01-15 06:16:47","2025-01-16 00:35:51"
"23","32","Birthday","Casual","Singer","Mandaue, Central Visayas, Philippines",NULL,"profile_images/pKk9q58lM9JuLwZ6GPhi8L0IOAPmoUw9qNQv7wIx.webp","5000","5.00",NULL,NULL,NULL,"solo","Available","2025-01-15 06:16:48","2025-01-16 00:34:52"
"24","33","Birthday","Retro","Dancer","Basak, Mandaue, Central Visayas, Philippines",NULL,"profile_images/tNOWAnRjKPq3VMkW0x6ZHhrc1kWsYWMV8bqQbUpX.webp","350","4.00",NULL,NULL,NULL,"solo","Available","2025-01-15 06:16:49","2025-01-16 00:47:48"
"25","34","Birthday","Hollywood Glam","Dancer","Liloan, 6002 Central Visayas, Philippines",NULL,"profile_images/PtEu3AyksfQwmkgaRDeV5G4M6EQZaL5RcuYOsjx4.jpg","698","4.00",NULL,NULL,NULL,"duo","Available","2025-01-15 06:16:50","2025-01-16 00:47:14"
"26","35","Birthday","Carnival","Singer","Cebu, Philippines",NULL,"profile_images/LPtBxPw7AB185Pf2OCAN5gXVozBUrHqYHfDCvZti.jpg","4999","5.00",NULL,NULL,NULL,"solo","Available","2025-01-15 06:16:51","2025-01-16 00:46:30"
"27","36","Birthday","Casual","Dancer","Mandaue, Central Visayas, Philippines",NULL,"profile_images/jp1fVuKAa4LIV4w0Dd0DnXxfCATIaw4q8qBqlrfm.webp","7000","5.00",NULL,NULL,NULL,"group","Available","2025-01-15 06:16:52","2025-01-16 00:51:43"
"28","37","Birthday","Disco","Singer","Umapad, Mandaue, 6014 Central Visayas, Philippines",NULL,"profile_images/dPxO6EM1fdRg81MjTTVFGYhjpKVWcYPK6b7mF3Gk.webp","650","4.00",NULL,NULL,NULL,"solo","Available","2025-01-15 06:16:53","2025-01-16 00:48:14"
"29","39","Reunion","Vintage","Singer","Lapu-Lapu, Central Visayas, Philippines",NULL,"profile_images/TjRckESTJkabhYRylPYOkQLqk8uyHQAd0Sx3WbJr.webp","10000","4.00",NULL,"3",NULL,"duo","Available","2025-01-15 06:31:30","2025-01-16 04:34:18"
"30","40","Concert","Pop","Singer",NULL,NULL,"profile_images/MsCbMkUBlKxJVxzmZTTMmCbrJhHq7Q4gWjDrsF9N.jpg","20000","3.00",NULL,"5","Pop","duo","Available","2025-01-15 06:40:01","2025-01-16 04:54:10"
"31","41","Reunion","Nature","Singer","Lapu-Lapu, Central Visayas, Philippines",NULL,"profile_images/VCyqbk161IMdaw2Jk0PRefUFv3DLNjwOXs9Ti1zU.webp","5000","3.00",NULL,"1",NULL,"solo","Available","2025-01-15 06:40:52","2025-01-16 04:34:59"
"32","42","Concert","Pop","Singer",NULL,NULL,"profile_images/pdmVEnKT94uak5W8OaHIbT5CWqLIGEfr22vxxx50.jpg","20000","5.00",NULL,NULL,"Pop","solo","Available","2025-01-15 06:43:49","2025-01-16 04:54:41"
"33","43","Reunion","Highschool","Singer","Lapu-Lapu, Central Visayas, Philippines",NULL,"profile_images/9PsOxyzJrgWr2hlzj3pcGVd4kznuxZfzsNJY5NiC.jpg","3500","2.00",NULL,"1","Dj","solo","Available","2025-01-15 06:47:37","2025-01-16 04:36:44"
"34","44","Reunion","Under the Sea","Musicians","Lapu-Lapu, Central Visayas, Philippines",NULL,"profile_images/X2sTxhFQW7cxYxKRsb7MbKzqGOxGaAE5ImkmZMoF.webp","1500","4.00",NULL,"2",NULL,"solo","Available","2025-01-15 06:57:55","2025-01-16 04:37:15"
"35","45","Concert","Pop","Singer",NULL,NULL,"profile_images/kLfnI9UYqbfA5acHicFKN96XaGtIA8R16NGNZ0Cm.jpg","20000","2.00",NULL,NULL,"Pop","solo","Available","2025-01-15 07:00:20","2025-01-16 04:55:51"
"36","46","Reunion","Under the Sea","Musicians","Lapu-Lapu, Central Visayas, Philippines",NULL,"profile_images/LfOPqF2WtK7br02lmGY6AMHYKqhTMRqbrwWDAvGt.jpg","5000","5.00",NULL,"1",NULL,"solo","Available","2025-01-15 07:06:25","2025-01-16 04:37:41"
"37","47","Concert","Indie","Singer",NULL,NULL,"profile_images/NKeFr1uZPPDfJ43jqfufn7C5xCk27eQzv6Pp1wxR.jpg","20000","1.00",NULL,"6","Indie","group","Available","2025-01-15 07:08:00","2025-01-16 04:57:03"
"38","48","Reunion","Highschool","Musicians,Bands","Lapu-Lapu, Central Visayas, Philippines",NULL,"profile_images/PdWjuUTj02ILOkHlUzvgdnj9XAw8DnIdNZIO1bxN.png","10000","3.00",NULL,"3","Band","group","Available","2025-01-15 07:11:25","2025-01-16 04:38:16"
"39","49","Reunion","Under the Sea","Dancers","Lapu-Lapu, Central Visayas, Philippines",NULL,"profile_images/iAFopiUWv6js4ckalZZYPTgdH0TA6tpOORGo33j1.webp","5500","5.00",NULL,"1",NULL,"group","Available","2025-01-15 07:19:16","2025-01-16 04:38:56"
"40","50","Concert","Indie","Singer",NULL,NULL,"profile_images/b4LRldWHqal6ZHslk009xaoaxX2TY4lXrMm209Un.jpg","75000","2.00",NULL,NULL,"Indie","group","Available","2025-01-15 07:24:35","2025-01-16 04:57:54"
"41","51","Reunion","Summer time","Singer,Dancers","Lapu-Lapu, Central Visayas, Philippines",NULL,"profile_images/7UC3Pk3OuMRFHYyylYDzmDXL7F6nt7XqAH3t1f0i.jpg","15000","4.00",NULL,"1",NULL,"group","Available","2025-01-15 07:28:24","2025-01-16 04:41:02"
"42","52","Reunion","Summer time","Dancers","Lapu-Lapu, Central Visayas, Philippines",NULL,"profile_images/sdT2261pi9pohxJUh7L9XfGUR7cTAsxMbXh8YpQ4.png","3500","4.00",NULL,"1",NULL,"group","Available","2025-01-15 07:36:05","2025-01-16 04:39:50"
"43","53","Concert","Indie","Singer",NULL,NULL,"profile_images/bMhts1pPsLz0B89kYCjjHH0tRZ7NrCWIOCLXlZO5.jpg","6000","5.00",NULL,NULL,"Indie","solo","Available","2025-01-15 07:45:26","2025-01-16 04:59:12"
"44","54","Concert","Indie","Singer",NULL,NULL,"profile_images/ewIeobPr4v7mOPbSPdAF5CKzrOVm0IM8puwNInH8.jpg","5000","1.00",NULL,NULL,NULL,"solo","Available","2025-01-15 07:45:31","2025-01-16 05:00:26"
"45","55","Concert","Pop","Singer",NULL,NULL,"profile_images/zpxFhIkzRxP6OHB0W9HRvpUFRBcPizgkvawvWGnd.jpg","20000","2.00",NULL,NULL,"Pop","group","Available","2025-01-15 07:45:32","2025-01-16 05:01:06"
"46","56","Concert","Rock","Singer",NULL,NULL,"profile_images/wX1sNO9jd2esQaxPmmF1788qKqy0U34HTzx3TPvf.jpg","10000","1.00",NULL,NULL,"ROck","group","Available","2025-01-15 07:45:36","2025-01-16 05:01:35"
"47","57","Reunion","Highschool","DJs","Lapu-Lapu, Central Visayas, Philippines",NULL,"profile_images/Gtk8uNYGM4IrgafwXbLR9Pp1OSNqVPZyRNHO5NfQ.avif","6000","3.00",NULL,"2",NULL,"solo","Available","2025-01-15 07:45:36","2025-01-16 04:40:17"
"48","58","Concert","Pop","Singer",NULL,NULL,"profile_images/HEBIi3e9pFmZvAgGB6IOQ8A97fBG7uysTNKcyKH7.jpg","45000","5.00",NULL,NULL,"Pop","group","Available","2025-01-15 07:45:41","2025-01-16 05:02:14"
"49","59","Reunion","Highschool","Musicians","Lapu-Lapu, Central Visayas, Philippines",NULL,"profile_images/gg48dUG5hb8Rdipeum2QiDLoTSxm7DOwtKm336oq.jpg","4500","5.00",NULL,"2",NULL,"solo","Available","2025-01-15 07:53:50","2025-01-16 04:42:28"
"50","60","Concert","Jazz","Singer",NULL,NULL,"profile_images/qQIE16FUZSQs9cT80UTEDRODPehnn1wh8XAF0GIW.jpg","3498","5.00",NULL,NULL,"Jazz","group","Available","2025-01-15 08:04:48","2025-01-16 05:03:15"
"51","61","Reunion","Under the Sea","DJs","Lapu-Lapu, Central Visayas, Philippines",NULL,"profile_images/6GVaHmwoCFjayLkrk2pa70sVa2TDH7nFXmIo9GMj.jpg","5000","4.00",NULL,"2",NULL,"solo","Available","2025-01-15 08:04:49","2025-01-16 04:41:34"
"52","62","Concert","Pop","Singer",NULL,NULL,"profile_images/ctk7J1vKlCXYZwOmnGueJyoxMXUAlc4EufEik8JB.jpg","5000","2.00",NULL,NULL,"Pop","group","Available","2025-01-15 08:21:37","2025-01-16 05:04:00"
"53","63","Reunion","Vintage","Singer","Lapu-Lapu, Central Visayas, Philippines",NULL,"profile_images/ryym9N6BSnYp5TY1cjmAjZWAQAefBT2vzeRFw6Yw.jpg","9500","4.00",NULL,"2",NULL,"solo","Available","2025-01-15 08:21:37","2025-01-16 04:42:03"
"54","64","Reunion","Nature","Singer","Lapu-Lapu, Central Visayas, Philippines",NULL,"profile_images/pXw9ok2arDhrgHPQv4RiFLo1jxlviIzjuFLyT7nA.png","3000","5.00",NULL,"1",NULL,"duo","Available","2025-01-15 08:29:03","2025-01-16 04:43:11"
"55","65","Reunion","Vintage","Singer,Bands","Lapu-Lapu, Central Visayas, Philippines",NULL,"profile_images/RCY66JEnoBeaPehjmMXBqx3Rm3R9hFWRbwFpnoLx.jpg","20000","4.00",NULL,"3",NULL,"group","Available","2025-01-15 08:40:04","2025-01-16 04:45:34"
"56","66","Reunion","Summer time","Singer,Bands","Lapu-Lapu, Central Visayas, Philippines",NULL,"profile_images/3VxoYlqV4quzcElHjPJou6LTJGSj674dEyXlvTbH.jpg","25000","5.00",NULL,"5",NULL,"group","Available","2025-01-15 08:46:29","2025-01-16 04:44:06"
"57","67","Reunion","Highschool","Dancers","Lapu-Lapu, Central Visayas, Philippines",NULL,"profile_images/Ly00V97wWSNuFgDGkf9Kjx5LLBNPZGndMU1yqxNH.jpg","15000","5.00",NULL,"2",NULL,"duo","Available","2025-01-15 08:55:41","2025-01-16 04:39:24"
"58","68","Concert","Rock","Singer",NULL,NULL,"profile_images/tcyuCdrcPGLI6Dw7yN9s6g79Fxcc2JpPxw9mubD5.jpg","4500","4.00",NULL,NULL,"Rock","group","Available","2025-01-15 08:55:43","2025-01-16 05:04:40"
"59","69","Reunion","Nature","Dancers","Lapu-Lapu, Central Visayas, Philippines",NULL,"profile_images/EJV3nb3leTh7Zu0OkgG7hfbp9uHPfIuVyYz0Ue2I.jpg","20000","5.00",NULL,"2",NULL,"group","Available","2025-01-15 09:01:13","2025-01-16 04:43:38"
"60","70","Reunion","Highschool","DJs","Lapu-Lapu, Central Visayas, Philippines",NULL,"profile_images/TkEV3Tgem15t5wLufR7yMabF45aWQC7VdVvVuUpZ.jpg","8500","5.00",NULL,"2",NULL,"solo","Available","2025-01-15 09:14:39","2025-01-16 04:44:30"
"61","71","Concert","Jazz","Singer",NULL,NULL,"profile_images/ZrkJeDzNXjNyp0OEYlKCoiVPm59ROvC5xpLasH4b.jpg","6000","5.00",NULL,NULL,"Pop","solo","Available","2025-01-15 09:14:40","2025-01-16 05:05:12"
"62","72","Concert","Rock","Singer",NULL,NULL,"profile_images/wpHhiGuv4NnMQmR75LOTW6uJkZ2Lsr8wMCG6SMsf.jpg","2000","1.00",NULL,NULL,"Rock","solo","Available","2025-01-15 09:14:44","2025-01-16 05:05:56"
"63","73","Concert","Pop","Singer",NULL,NULL,"profile_images/9p6HfiMRuhpgFpx0QD0n0ZAcg7VSTwMazcnJ1Pyg.jpg","12000","3.00",NULL,NULL,"Pop","group","Available","2025-01-15 09:14:45","2025-01-16 05:08:04"
"64","74","Concert","Jazz","Singer",NULL,NULL,"profile_images/sO2ajAYIkcUXwHrM5ljAvW308SpEa8MUXKST3pM9.jpg","2000","5.00",NULL,NULL,"Pop","group","Available","2025-01-15 09:29:27","2025-01-16 05:06:31"
"65","75","Concert","Rock","Singer",NULL,NULL,"profile_images/dW9OyaN02dBcAFns3kVENHRtuy4GvVSj3uk33LQr.jpg","500","5.00",NULL,"2","Rock","solo","Available","2025-01-15 09:29:43","2025-01-16 05:06:55"
"66","76","Wedding","Romantic","Singer","Mandaue City, Central Visayas, Philippines","pogi","profile_images/kwe38JxWwUIvbqqYChVYn9xRBxa7osabusk80KUs.jpg","500","4.00","09123456788","8","romantic","solo","Available","2025-01-15 10:06:55","2025-01-16 07:06:06"
"67","77","Wedding","Garden Party","Singer","Banilad, Mandaue, Central Visayas, Philippines","stranger","profile_images/YHznQNoPKB53SbJlOD75XdVRymoJ6CY3LACEzLQZ.jpg","1000","5.00","09123456788","12","Any","solo","Available","2025-01-15 10:12:41","2025-01-16 07:08:13"
"68","78","Wedding","Bohemian","Singer","Basak, Mandaue, Central Visayas, Philippines","gotcha","profile_images/QHg3Tx24fa3WVtgBPh9tzbYllxB5vnRv3pyuKc2J.webp","2000","1.00","096193194958","21","Any","solo","Available","2025-01-15 10:17:45","2025-01-16 07:15:54"
"69","79","Wedding","Bohemian","Singer","Umapad, Mandaue, 6014 Central Visayas, Philippines","we are SHEMA GROUP","profile_images/yIHlwgU37BSx8xZ1nOuSnpJlTuXs9mStapBhvGFV.avif","2000","3.00","09282145253","8","Bohemian","group","Available","2025-01-15 10:20:45","2025-01-16 07:16:09"
"70","80","Wedding","Rustic","Singer","Umapad, Mandaue, 6014 Central Visayas, Philippines","wakandaaaa","profile_images/Iv4E4TsSR5ydKO9ynM7KWF2NPY5YWNdHgXxrP52S.webp","2000","5.00","09123456788","5","Any","group","Available","2025-01-15 10:24:16","2025-01-16 07:17:14"
"71","81","Wedding","Bohemian","Singer","Opao, Mandaue, Central Visayas, Philippines","supp nigga","profile_images/P3kso44PfGnPM4pWhMKGgPSRtLB5Vt04INm7mJT1.jpg","800","4.00","09123456788","32","Rap","solo","Available","2025-01-15 10:29:38","2025-01-16 07:17:22"
"72","82","Wedding","Romantic","Singer","Looc, Mandaue, Central Visayas, Philippines","kulafu bois","profile_images/65LrxOM5zJx4F2YwGTCl9e7Ru7GyAvZrezBowTNJ.png","1500","1.00","09123456788","33","romantic","group","Available","2025-01-15 10:34:49","2025-01-16 07:19:35"
"73","83","Wedding","Romantic","Singer","Lapu-Lapu, Central Visayas, Philippines","yeah","profile_images/iZJGd4d9qEbBdCJDADhkY8kNx6fv7BMmllmRas9k.png","2000","2.00","09123456788","14","Any","group","Available","2025-01-15 10:39:54","2025-01-16 07:19:47"
"74","84","Wedding","Rustic","Singer","Canada","hello mga dae","profile_images/bw6slLNREgmI8oP3dlDx4xpgtXtdSYSDU7Eirgso.jpg","1500","5.00","09231412432","2","Any","solo","Available","2025-01-15 10:44:13","2025-01-16 07:19:54"
"75","85","Wedding","Romantic","Singer","Cebu, Philippines",NULL,"profile_images/KQCc1QKpfD5ELgIgt6KUXD4xkycXASPR67KQ2gJ6.png","700","2.00","09282145253","6","Romantic","solo","Available","2025-01-15 10:48:41","2025-01-16 07:22:50"
"76","86","Wedding","Romantic","Singer","Cebu, Philippines","way lami ang kinabuhi ug way karne","profile_images/yD543DAfEHY8qvOjRZ2akKC2Paa80TVAlAcHs55K.jpg","1500","5.00","096193194958","20","Any","solo","Available","2025-01-15 10:51:28","2025-01-16 07:22:57"
"77","87","Wedding","Romantic","Singer","Mandaue, Central Visayas, Philippines",NULL,"profile_images/sQZLOmCZjhd7xY2eF1t6bmd0DPSdVHb8B37aBsPw.webp","800","5.00","09123456788","7","Romantic","solo","Available","2025-01-15 10:53:57","2025-01-16 07:23:04"
"78","88","Wedding","Rustic","Musician","Manila, Capital District, Philippines","boy meron akong kwento","profile_images/jLbsrHfPDOrzLq8aoMX55Mfe5vhAwd6PIFNoFmOm.jpg","900","5.00","09123456788","4","Rustic Musician","solo","Available","2025-01-15 10:57:08","2025-01-16 07:24:47"
"79","89","Wedding","Bohemian","Musician","Mandaue, Central Visayas, Philippines",NULL,"profile_images/AjE4mKG4te1Bt3OnKOPYwf6Wq0wu9Wmux7WWnGF6.jpg","800","3.00","096193194958","5","Any","solo","Available","2025-01-15 11:01:13","2025-01-16 07:24:02"
"80","90","Wedding","Bohemian","Musician","Lapu-Lapu, Central Visayas, Philippines",NULL,"profile_images/49UAu59tNl7BVmc2b5WDxk6B1lxfM1NYHgjsv3hA.jpg","1500","5.00","09123456788","13","Any","solo","Available","2025-01-15 11:04:43","2025-01-16 07:24:15"
"81","91","Wedding","Romantic","Singer","Lapu-Lapu, Central Visayas, Philippines",NULL,"profile_images/qmCGSgsJoPzXE9UmAdICbSvfJP6Cg5DeymJW4Z4Q.jpg","690","5.00","096193194958","69","Any","solo","Available","2025-01-15 11:07:50","2025-01-16 07:24:25"
"82","92","Wedding","Romantic","Singer","Mandaue, Central Visayas, Philippines",NULL,"profile_images/Gss9ZLUmIhv7t81IGdzNhRYNzOhOta719Lxcs4P9.webp","600","5.00","09123456788","13","romantic","solo","Available","2025-01-15 11:11:21","2025-01-16 07:25:25"
"83","93","Wedding","Garden Party","Singer","Cebu, Philippines",NULL,"profile_images/LiFLoRQcPO9VLlGgJeb8A7IHpbr1xgLHzUVGU69u.avif","799","4.00","09123456788","12","Any","solo","Available","2025-01-15 11:14:13","2025-01-16 07:25:33"
"84","94","Wedding","Romantic","Singer","Lapu-Lapu, Central Visayas, Philippines",NULL,"profile_images/cnQkhe869F8am43eetxskBBaQ3eDr7vPDD6qUGgU.jpg","1098","4.00","09282145253","13","Any","solo","Available","2025-01-15 11:18:47","2025-01-16 07:25:38"
"85","95","Wedding","Rustic","Singer","Lapu-Lapu, Central Visayas, Philippines",NULL,"profile_images/H5UyNqKMMu17VIuaY3HL32q7WEkf3QCfZjmAuaAR.jpg","1000","1.00",NULL,"11","Any","solo","Available","2025-01-15 11:22:09","2025-01-16 07:27:21"
"86","98","Birthday","Casual","Singer","Mandaue City, Central Visayas, Philippines",NULL,"profile_images/7NJiEllYNZSR01a3mFjQHVPvaPBssXQvpG1GyE6O.jpg","350","4.00",NULL,NULL,NULL,"solo","Available","2025-01-16 01:08:22","2025-01-16 01:32:56"
"87","99","Birthday","Carnival","Singer","Lapu-Lapu, Central Visayas, Philippines",NULL,"profile_images/PTGLEpFsLDLmcjwu2yVPA6QMxRbNbiIBGESGpfxQ.webp","3700","3.00",NULL,NULL,NULL,"solo","Available","2025-01-16 01:08:31","2025-01-16 01:35:38"
"88","100","Birthday","Retro","Dancer","Cebu, Central Visayas, Philippines",NULL,"profile_images/ufrFTPTtCxXNXMKarnVwvteLnztNXmwuLr7XC69D.jpg","1200","3.00",NULL,NULL,NULL,"solo","Available","2025-01-16 01:08:43","2025-01-16 03:04:25"
"89","101","Birthday","Disco","Dancer","Mandaue, Central Visayas, Philippines",NULL,"profile_images/fG6PQiLvjvr9qWvdkmoz1XDp4fb13FDANt3ZH5MD.jpg","2300","1.00",NULL,NULL,NULL,"solo","Available","2025-01-16 01:08:46","2025-01-16 03:05:23"
"90","102","Birthday","Casual","Singer","Liloan, 6002 Central Visayas, Philippines",NULL,"profile_images/B2xupjlYK9yVf5PVRGaxRNucOEkKJQuWCmt1O5Du.webp","4500","4.00",NULL,NULL,NULL,"solo","Available","2025-01-16 01:08:49","2025-01-16 01:38:50"
"91","103","Birthday","Disco","Singer","Cebu City, Central Visayas, Philippines",NULL,"profile_images/1QAW7gLVc2mecQUcV3GIGA1ciafTT0SkBaNHQeTi.jpg","8000","5.00",NULL,NULL,NULL,"group","Available","2025-01-16 01:08:50","2025-01-16 01:45:42"
"92","104","Birthday","Retro","Singer","Cebu City, Central Visayas, Philippines",NULL,"profile_images/ZzKdhK8MS9gmzwnbJ2HRzglovqacQGsnPBSjObLN.jpg","2000","2.00",NULL,NULL,NULL,"solo","Available","2025-01-16 01:08:56","2025-01-16 01:47:57"
"93","105","Birthday","Hollywood Glam","Dancer","Liloan, 6002 Central Visayas, Philippines",NULL,"profile_images/U1ln6otKliBg3wP0LLTRIwZEKM8xIIZFD725ILnL.jpg","9000","3.00",NULL,NULL,NULL,"solo","Available","2025-01-16 01:08:56","2025-01-16 03:06:12"
"94","106","Birthday","Carnival","Dancer","Lapu-Lapu, Central Visayas, Philippines",NULL,"profile_images/YzLOFsIQUBPP7YqitEjjFk6JaRpvlvsRNnBgwAT6.jpg","5800","3.00",NULL,NULL,NULL,"group","Available","2025-01-16 01:09:01","2025-01-16 03:06:44"
"95","107","Birthday","Casual","Dancer","Cebu, Philippines",NULL,"profile_images/ElCeV4kwmXwrhrSe6xYODnM0lXyyJLMcYJaOeNuL.webp","4800","3.00",NULL,NULL,NULL,"solo","Available","2025-01-16 01:09:02","2025-01-16 03:07:28"
"96","108","Corporate","Futuristic","DJs","Lapu-Lapu, Central Visayas, Philippines",NULL,"profile_images/cdkBliKozkxpQrigIoJ9WPslhfLhjcDhAJ3GHXkW.png","1500","3.00",NULL,"1",NULL,"solo","Available","2025-01-16 02:00:45","2025-01-16 04:46:10"
"97","109","Corporate","Tech","DJs","Lapu-Lapu, Central Visayas, Philippines",NULL,"profile_images/lD3n0PLjDnEUQS34Z2qL1mTC7YZmzAT3NFQnfSht.avif","2000","1.00",NULL,NULL,NULL,"solo","Available","2025-01-16 02:09:43","2025-01-16 04:44:57"
"98","110","Corporate","Futuristic","DJs","Lapu-Lapu, Central Visayas, Philippines",NULL,"profile_images/6dGerqS5Emw6oeJ7GX8B5GKyJItcJCMVGYNBoxEz.jpg","3000","3.00",NULL,NULL,NULL,"solo","Available","2025-01-16 02:14:08","2025-01-16 04:54:35"
"99","111","Corporate","Formal","DJs","Lapu-Lapu, Central Visayas, Philippines",NULL,"profile_images/Oz8BccTJnB14a23SbrHwMGkgtHmKCM6gIu6d0BOA.jpg","20000","3.00",NULL,"3",NULL,"solo","Available","2025-01-16 02:21:26","2025-01-16 04:47:02"
